alpha.value,batchSize.value,beta1.value,beta2.value,epochs.value,epsilon.value,initialAccumulator.value,lambda.value,learningRate.value,learningRateDecay.value,lossFunction.value,momentum.value,optimizer.value,rho.value,weightDecay.value
,100.0,0.9,0.999,10.0,1e-06,,,0.001,,1,,1,,0.0
,100.0,0.9,0.999,10.0,1e-06,,,1.0,,1,,1,,0.0
,10.0,0.9,0.999,10.0,1e-06,,,0.001,,1,,1,,0.0
,200.0,0.9,0.999,10.0,1e-06,,,0.001,,1,,1,,0.0
,100.0,0.9,0.999,10.0,1e-06,,,0.01,,1,,1,,0.0
,100.0,0.9,0.999,10.0,1e-06,,,0.1,,1,,1,,0.0
,10.0,0.9,0.999,10.0,0.1,,,0.001,,1,,1,,0.0
,10.0,0.9,0.999,10.0,0.1,,,0.0001,,1,,1,,0.0
,10.0,0.9,0.999,5.0,1.0,,,0.001,,1,,1,,0.0
,10.0,0.9,0.999,10.0,1.0,,,0.001,,1,,1,,0.0
,50.0,0.9,0.999,10.0,0.1,,,0.001,,1,,1,,0.0
,5.0,0.9,0.999,10.0,0.1,,,0.001,,1,,1,,0.0
,10.0,0.9,0.999,20.0,0.1,,,0.001,,1,,1,,0.0
,10.0,0.9,0.999,100.0,1e-06,,,0.001,,2,,1,,0.0
,100.0,0.9,0.999,10.0,1e-06,,,0.001,,2,,1,,0.0
,100.0,0.9,0.999,10.0,1e-06,,,0.001,,4,,1,,0.0
,100.0,0.9,0.999,10.0,1e-06,,,0.001,,2,,1,,0.0
,100.0,,,10.0,,,,0.001,,1,0.0,5,,0.0
0.75,100.0,,,10.0,,,0.0001,0.001,,1,,3,,0.0
0.75,100.0,,,100.0,,,0.0001,0.001,,1,,3,,0.0
0.75,100.0,,,10.0,,,0.0001,0.001,,2,,3,,0.0
,100.0,0.9,0.999,10.0,1e-06,,,0.001,,1,,1,,0.0
,100.0,,,10.0,,,,0.001,,1,0.0,5,,0.0
,100.0,,,100.0,,,,0.001,,1,0.0,5,,0.0
,1000.0,,,50.0,,,,0.001,,1,0.0,5,,0.0
0.75,100.0,,,50.0,1e-06,,,0.001,,1,0.0,4,,0.0
,100.0,,,50.0,,,,0.001,,1,0.9,5,,0.0
,100.0,,,20.0,,,,0.001,,1,0.9,5,,0.0
,100.0,,,50.0,,,,0.001,,1,0.7,5,,0.0
,100.0,,,60.0,,,,0.001,,1,0.9,5,,0.0
,100.0,,,75.0,,,,0.001,,1,0.95,5,,0.0
,100.0,,,100.0,,,,0.001,,1,0.95,5,,0.0
,25.0,,,10.0,,,,1.0,,3,0.0,5,,0.0
,10.0,,,5.0,,,,10.0,,3,0.0,5,,0.0
0.75,10.0,,,5.0,,,0.0001,0.1,,3,,3,,0.0
0.75,10.0,,,5.0,,,0.0001,0.01,,3,,3,,0.0
0.75,100.0,,,5.0,,,0.0001,0.1,,3,,3,,0.0
0.75,10.0,,,50.0,,,0.0001,0.1,,3,,3,,0.0
0.75,10.0,,,5.0,,,0.0001,0.1,,3,,3,,0.0
0.75,10.0,,,5.0,,,0.0001,0.1,,1,,3,,0.0
0.75,10.0,,,5.0,,,0.0001,0.01,,1,,3,,0.0
,10.0,0.9,0.999,5.0,1e-06,,,0.01,,1,,1,,0.0
0.75,10.0,,,50.0,,,0.0001,0.01,,1,,3,,0.0
,256.0,,,50.0,1e-06,,,1.0,,1,,2,0.9,0.0
,526.0,,,200.0,1e-06,,,1.0,,1,,2,0.9,0.0
,5.0,0.9,0.999,5.0,1e-06,,,0.001,,2,,1,,0.0
0.75,55.0,,,5.0,,,0.0001,0.001,,1,,3,,0.0
0.75,55.0,,,55.0,,,0.0001,0.001,,1,,3,,0.0
0.75,555.0,,,155.0,,,0.0001,0.001,,1,,3,,0.0
,555.0,0.9,0.999,105.0,1e-06,,,0.001,,1,,1,,0.0
,555.0,0.9,0.999,70.0,1e-06,,,0.001,,1,,1,,0.0
,555.0,0.9,0.999,55.0,1e-06,,,0.001,,1,,1,,0.0
,500.0,0.9,0.999,50.0,1e-06,,,0.001,,1,,1,,0.0
,200.0,,,1000.0,,,,0.001,,1,0.0,5,,0.0
,64.0,0.9,0.999,2.0,1e-06,,,0.001,,1,,1,,0.0
,64.0,0.9,0.999,10.0,1e-06,,,0.001,,1,,1,,0.0
,64.0,0.9,0.999,50.0,1e-06,,,0.001,,1,,1,,0.0
,64.0,0.9,0.999,50.0,1e-06,,,0.0001,,1,,1,,0.0
,64.0,0.9,0.999,75.0,1e-06,,,0.0001,,1,,1,,0.0
,64.0,0.9,0.999,75.0,1e-06,,,0.001,,1,,1,,0.0
,128.0,0.9,0.999,60.0,1e-06,,,0.001,,1,,1,,0.0
,128.0,0.9,0.999,60.0,1e-06,,,0.0001,,1,,1,,0.0
,128.0,,,60.0,,,,0.0001,,1,0.0,5,,0.0
,64.0,,,60.0,,,,0.001,,1,0.0,5,,0.0
,64.0,0.9,0.999,50.0,1e-08,,,0.001,,1,,1,,0.0
,128.0,0.9,0.999,50.0,1e-08,,,0.0001,,1,,1,,0.0
,128.0,0.9,0.999,60.0,1e-08,,,0.0001,,1,,1,,0.0
,128.0,0.9,0.999,60.0,1e-08,,,0.0001,,3,,1,,0.0
,200.0,,,1000.0,,,,0.0015,,1,0.0,5,,0.0
,100.0,,,500.0,,,,0.0015,,1,0.0,5,,0.0
,200.0,,,500.0,,,,0.0015,,1,0.0,5,,0.0
,200.0,,,200.0,,,,0.0001,,1,0.0,5,,0.0
,200.0,,,200.0,,,,0.0015,,1,0.0,5,,0.0
,1000.0,,,15.0,,,,0.001,,3,0.0,5,,0.9
,1000.0,0.9,0.999,15.0,1e-10,,,0.001,,3,,1,,0.9
,100.0,0.0,0.999,15.0,1e-10,,,0.001,,3,,1,,0.9
,100.0,0.0,0.999,15.0,1e-10,,,0.01,,3,,1,,0.9
,10.0,0.0,0.0,15.0,1e-10,,,0.01,,3,,1,,0.9
7.0,1000.0,,,10.0,,,7.0,2000.0,,1,,3,,5.0
0.75,1000.0,,,10.0,,,0.0001,0.001,,1,,3,,0.0
0.75,250.0,,,100.0,,,0.0001,0.001,,1,,3,,0.0
10.0,250.0,,,30.0,,,10.0,10.0,,1,,3,,10.0
0.75,250.0,,,30.0,,,0.0001,0.001,,1,,3,,0.0
0.75,300.0,,,200.0,,,0.0001,0.001,,1,,3,,0.0
0.75,350.0,,,250.0,,,0.0001,0.001,,1,,3,,0.0
0.75,250.0,,,50.0,,,0.0001,0.001,,1,,3,,0.0
,300.0,,,100.0,,,,0.001,,3,0.0,5,,0.0
,300.0,0.9,0.999,100.0,1e-06,,,0.001,,1,,1,,0.0
,80.0,,,10.0,1e-06,,,0.001,,1,,2,0.9,0.0
,50.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,30.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,20.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,20.0,,,10.0,1e-06,,,0.001,,1,,2,0.9,0.0
,15.0,,,15.0,1e-06,,,0.001,,1,,2,0.9,0.0
,15.0,,,15.0,1e-06,,,0.02,,1,,2,0.9,0.0
,15.0,,,15.0,1e-06,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,1e-07,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,2e-06,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,5e-06,,,0.05,,1,,2,0.9,0.0
,15.0,,,15.0,5e-06,,,0.05,,1,,2,0.9,0.0001
,15.0,,,15.0,5e-06,,,0.05,,4,,2,0.9,0.0001
,13.0,,,18.0,5e-06,,,0.05,,1,,2,0.9,0.0001
,12.0,,,19.0,5e-06,,,0.05,,1,,2,0.9,0.0001
,13.0,,,18.0,5e-06,,,0.06,,1,,2,0.9,0.0001
,64.0,0.9,0.999,50.0,1e-06,,,0.0003,,1,,1,,0.0005
,64.0,0.9,0.999,80.0,1e-06,,,0.0003,,1,,1,,0.0005
,64.0,,,80.0,,,,0.001,,1,0.9,5,,0.0005
0.75,64.0,,,80.0,,,0.0001,0.001,,1,,3,,0.0005
,64.0,,,80.0,1e-06,,,0.001,,1,,2,0.9,0.0005
,64.0,0.9,0.999,80.0,1e-06,,,0.001,,1,,1,,0.0005
,128.0,0.9,0.999,80.0,1e-06,,,0.0003,,1,,1,,0.0005
,128.0,,,80.0,,,,0.001,,1,0.9,5,,0.0005
,32.0,,,30.0,,,,0.001,,1,0.0,5,,0.0
,32.0,,,30.0,,,,0.0003,,1,0.0,5,,3e-05
,32.0,,,28.0,,,,0.003,,1,0.0,5,,3e-05
,32.0,,,70.0,,,,0.003,,1,0.0,5,,3e-05
,32.0,,,69.0,,,,0.003,,1,0.0,5,,3e-05
,32.0,,,70.0,,,,0.003,,1,0.9,5,,3e-05
,32.0,,,70.0,,,,0.003,,1,0.1,5,,3e-05
,32.0,,,140.0,,,,0.0003,,1,0.25,5,,3e-05
,50.0,,,100.0,,,,0.01,,1,0.0,5,,0.0
,50.0,,,100.0,,,,0.001,,1,0.0,5,,0.0
,50.0,,,100.0,,,,0.001,,4,0.0,5,,0.0
,50.0,0.9,0.999,100.0,1e-06,,,0.001,,1,,1,,0.0
0.75,50.0,,,100.0,1e-06,,,0.001,,1,0.0,4,,0.0
,128.0,0.5,0.5,10.0,0.9,,,0.5,,1,,1,,0.9
,256.0,,,10.0,,0.0,,0.09,0.6,1,,6,,0.6
,500.0,,,10.0,,,,0.09,,4,0.0,5,,0.6
0.99,500.0,,,10.0,,,0.99,0.09,,4,,3,,0.6
,500.0,0.99,0.99,20.0,1e-05,,,0.009,,1,,1,,0.6
,512.0,0.9,0.999,20.0,1e-05,,,0.001,,1,,1,,0.0
,128.0,0.9,0.999,40.0,1e-05,,,0.001,,1,,1,,0.0
,512.0,0.9,0.999,100.0,1e-05,,,0.001,,3,,1,,0.001
,512.0,,,200.0,,,,0.001,,1,0.9,5,,0.001
,512.0,,,200.0,,0.1,,0.001,0.001,1,,6,,0.0
,512.0,,,200.0,1e-06,,,0.01,,1,,2,0.8,0.0
,5.0,0.9,0.999,1.0,1e-06,,,0.0001,,1,,1,,0.0
,5.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,5.0,0.9,0.999,10.0,1e-06,,,0.0001,,1,,1,,0.0
,10.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.0
,20.0,0.9,0.999,30.0,1e-06,,,0.0001,,1,,1,,0.95
,20.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.05
,10.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.005
,10.0,0.9,0.999,20.0,1e-06,,,0.0001,,1,,1,,0.0
,20.0,0.9,0.999,40.0,1e-06,,,0.0001,,1,,1,,0.005
,20.0,0.9,0.999,50.0,1e-06,,,0.0001,,1,,1,,0.0
,30.0,0.9,0.999,50.0,1e-06,,,0.0001,,1,,1,,0.0
,30.0,0.9,0.999,100.0,1e-06,,,0.0001,,1,,1,,0.0
,10.0,0.9,0.999,50.0,1e-06,,,0.001,,1,,1,,0.0
,64.0,0.9,0.999,5.0,1e-06,,,0.01,,1,,1,,0.0
0.75,4.0,,,4.0,,,0.0001,0.01,,1,,3,,0.0
,1.0,0.9,0.999,1.0,1e-06,,,0.01,,1,,1,,0.0
,25.0,0.9,0.999,4.0,1e-06,,,0.01,,1,,1,,0.0
0.75,25.0,,,4.0,,,0.0001,0.01,,1,,3,,0.0
0.75,25.0,,,4.0,,,0.0001,0.01,,1,,3,,0.0
0.75,25.0,,,3.0,,,0.0001,0.01,,1,,3,,0.0
0.75,25.0,,,6.0,,,0.0001,0.01,,1,,3,,0.0
0.75,25.0,,,120.0,,,0.0001,0.01,,3,,3,,0.0
0.75,25.0,,,150.0,,,0.0001,0.001,,1,,3,,0.0
,100.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,100.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,100.0,0.9,0.999,1.0,1e-06,,,0.001,,4,,1,,0.0
,100.0,0.9,0.999,1.0,1e-06,,,0.001,,3,,1,,0.0
,25.0,0.9,0.999,20.0,1e-06,,,0.001,,3,,1,,0.0
,25.0,0.9,0.999,40.0,1e-06,,,0.0001,,3,,1,,0.0
,25.0,0.9,0.999,40.0,1e-06,,,1e-05,,3,,1,,0.0
,500.0,0.9,0.999,25.0,1e-06,,,0.001,,1,,1,,0.0
,500.0,,,25.0,1e-06,,,0.001,,1,,2,0.9,0.0
,500.0,,,25.0,,0.0,,0.001,0.0,1,,6,,0.0
0.75,500.0,,,25.0,,,0.0001,0.001,,1,,3,,0.0
,100.0,0.9,0.999,25.0,1e-06,,,0.001,,1,,1,,0.0
,100.0,0.9,0.999,25.0,1e-06,,,0.001,,3,,1,,0.0
,250.0,0.9,0.999,25.0,1e-06,,,0.001,,3,,1,,0.0
,100.0,0.9,0.999,25.0,1e-06,,,0.1,,3,,1,,0.0
,100.0,0.9,0.999,25.0,1e-06,,,0.01,,3,,1,,0.0
,100.0,0.9,0.999,25.0,1e-06,,,0.001,,3,,1,,0.005
,100.0,0.9,0.999,25.0,1e-06,,,0.001,,3,,1,,0.03
,100.0,0.9,0.999,25.0,1e-06,,,0.001,,3,,1,,0.0
,200.0,0.9,0.999,10.0,1e-06,,,0.001,,1,,1,,0.0
,400.0,0.9,0.999,20.0,1e-06,,,0.001,,1,,1,,0.0
,500.0,0.9,0.999,50.0,1e-06,,,0.001,,1,,1,,0.0
,600.0,0.9,0.999,100.0,1e-06,,,0.001,,1,,1,,0.0
,600.0,0.9,0.999,90.0,1e-06,,,0.001,,1,,1,,0.0
,500.0,0.9,0.999,85.0,1e-06,,,0.001,,1,,1,,0.0
,600.0,0.9,0.999,85.0,1e-06,,,0.001,,1,,1,,0.0
,700.0,0.9,0.999,100.0,1e-06,,,0.001,,1,,1,,0.0
,700.0,0.9,0.999,120.0,1e-06,,,0.001,,1,,1,,0.0
,600.0,0.9,0.999,95.0,1e-06,,,0.001,,1,,1,,0.0
,100.0,,,1.0,,,,0.001,,2,0.0,5,,0.0
,100.0,,,10.0,,,,0.001,,2,0.0,5,,0.0
,100.0,,,50.0,,,,0.001,,2,0.0,5,,0.0
,100.0,,,50.0,,,,0.01,,2,0.0,5,,0.0
,250.0,,,50.0,,,,0.01,,2,0.0,5,,0.0
,100.0,,,50.0,,,,0.05,,2,0.0,5,,0.0
0.75,100.0,,,50.0,1e-06,,,0.001,,3,0.0,4,,0.0
0.75,100.0,,,50.0,1e-06,,,0.01,,3,0.0,4,,0.0
0.75,100.0,,,100.0,1e-06,,,0.001,,3,0.0,4,,0.0
,130.0,0.9,0.999,2.0,1e-06,,,0.001,,1,,1,,0.0
,1000.0,0.9,0.999,2.0,1e-06,,,0.001,,1,,1,,0.0
,100.0,,,50.0,1e-06,,,0.001,,2,,2,0.9,0.0
,130.0,0.9,0.999,2.0,1e-06,,,0.001,,1,,1,,0.0
,1000.0,0.9,0.999,2.0,1e-06,,,0.001,,1,,1,,0.0
,1000.0,,,2.0,1e-06,,,0.001,,1,,2,0.9,0.0
,1000.0,,,2.0,,0.0,,0.001,0.0,1,,6,,0.0
0.75,1000.0,,,2.0,,,0.0001,0.001,,1,,3,,0.0
0.75,1000.0,,,2.0,1e-06,,,0.001,,1,0.0,4,,0.0
,1000.0,,,2.0,,,,0.001,,1,0.0,5,,0.0
,1000.0,,,2.0,,0.0,,0.001,0.0,4,,6,,0.0
,1000.0,,,2.0,,0.0,,0.001,0.0,3,,6,,0.0
,1000.0,,,2.0,,0.0,,0.001,0.0,2,,6,,0.0
,100.0,,,2.0,,0.0,,0.001,0.0,2,,6,,0.0
,200.0,,,2.0,,0.0,,0.001,0.0,2,,6,,0.0
,300.0,,,2.0,,0.0,,0.001,0.0,2,,6,,0.0
,400.0,,,2.0,,0.0,,0.001,0.0,2,,6,,0.0
,50.0,,,2.0,,0.0,,0.001,0.0,2,,6,,0.0
,1.0,,,2.0,,0.0,,0.001,0.0,2,,6,,0.0
,10.0,,,2.0,,0.0,,0.001,0.0,3,,6,,0.0
,10.0,,,10.0,,0.0,,0.001,0.0,3,,6,,0.0
,10.0,,,6.0,,0.0,,0.001,0.0,3,,6,,10.0
,1.0,,,6.0,,0.0,,0.001,0.0,3,,6,,0.0
,1.0,,,6.0,,0.0,,0.001,0.0,3,,6,,0.0
,16.0,0.9,0.999,40.0,1e-06,,,0.001,,1,,1,,0.0
,32.0,,,30.0,,,,0.001,,1,0.0,5,,0.0005
,32.0,,,80.0,,,,0.0005,,1,0.0,5,,5e-05
,32.0,,,50.0,1e-06,,,0.001,,1,,2,0.9,5e-05
,32.0,,,60.0,,,,0.001,,1,0.0,5,,5e-05
,1.0,,,1.0,1e-06,,,0.001,,4,,2,0.9,0.0
,10.0,,,1.0,1e-06,,,0.001,,4,,2,0.9,0.0
,100.0,,,1.0,1e-06,,,0.001,,4,,2,0.9,0.0
,500.0,0.9,0.999,1.0,1e-06,,,0.001,,4,,1,,0.0
,100.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,500.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,10.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,600.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,400.0,0.9,0.999,1.0,1e-06,,,0.001,,1,,1,,0.0
,500.0,0.9,0.999,1.0,1e-06,,,0.001,,3,,1,,0.0
,500.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,300.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,600.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,500.0,,,1.0,1e-06,,,0.001,,2,,2,0.9,0.0
,500.0,,,1.0,,0.0,,0.001,0.0,2,,6,,0.0
0.75,500.0,,,1.0,,,0.0001,0.001,,2,,3,,0.0
0.75,500.0,,,1.0,1e-06,,,0.001,,2,0.0,4,,0.0
,500.0,,,1.0,,,,0.001,,2,0.0,5,,0.0
,480.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,470.0,,,1.0,,,,0.001,,2,0.0,5,,0.0
,470.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,485.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,475.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,481.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,1.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,2.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,3.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,4.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,6.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,10.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,50.0,1e-06,,,0.001,,2,,1,,0.0
,480.0,0.9,0.999,100.0,1e-06,,,0.001,,2,,1,,0.0
,2.0,,,5.0,,3.0,,10.0,10.0,3,,6,,5.0
,1.0,,,2.0,,,,0.05,,3,0.75,5,,0.001
,10.0,,,50.0,,,,0.05,,3,0.75,5,,0.001
,10.0,,,5.0,,,,0.01,,3,0.9,5,,0.001
,10.0,,,10.0,,,,0.01,,3,0.9,5,,0.001
,10.0,,,50.0,,,,0.01,,3,0.9,5,,0.001
,64.0,0.9,0.999,80.0,1e-06,,,0.001,,1,,1,,0.0
,512.0,0.9,0.99,10.0,1e-08,,,0.05,,2,,1,,0.001
,512.0,0.9,0.99,10.0,1e-08,,,0.05,,4,,1,,0.001
,512.0,0.9,0.99,10.0,1e-08,,,0.05,,3,,1,,0.001
,512.0,0.9,0.99,100.0,0.1,,,0.05,,3,,1,,0.001
0.75,900.0,,,200.0,0.1,,,0.005,,1,0.0,4,,0.01
,900.0,,,20.0,0.1,,,0.05,,1,,2,0.95,0.01
,200.0,0.9,0.999,2.0,1e-06,,,0.001,,1,,1,,0.0
,32.0,0.9,0.999,150.0,1e-06,,,0.0001,,1,,1,,0.0
